Camp,Country,Longitude,Latitude,DatePublished,Source,URL,Individuals,Households,Male_0_4,Male_5_11,Male_12_17,Male_60,Female_0_4,Female_5_11,Female_12_17,Female_18_59,Female_60,Eritrean,Ethiopian,Somali,Sudanese,Ugandan
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,10/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=436.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%204th%20Oct%202011%20Ext.pdf",36624,9181,5049,5409,2031,533,4864,4866,1582,6861,620,,439,36184,1,
Kambioos,Kenya,40.393056,-0.044167,10/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=436.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%204th%20Oct%202011%20Ext.pdf",8258,1787,1083,1366,555,93,1003,1155,394,1442,135,,39,8219,,
Dagahaley,Kenya,40.2881,0.191389,10/3/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=428.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%203rd%20Oct%202011%20Ext.pdf",127621,37254,13119,17738,8446,2012,12962,16638,7410,26084,2223,53,5054,122440,71,3
Hagadera,Kenya,40.35,0.001111,10/3/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=428.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%203rd%20Oct%202011%20Ext.pdf",139700,43897,13154,16645,10034,2336,12527,15627,8210,30460,2454,,3622,136068,2,4
Ifo,Kenya,40.3131,0.108611,10/3/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=428.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%203rd%20Oct%202011%20Ext.pdf",122451,40460,11302,14621,8404,2197,11075,13904,7081,26469,2301,5,8697,112552,925,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,10/3/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=428.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%203rd%20Oct%202011%20Ext.pdf",21612,5164,2900,3278,1353,323,2798,2968,985,3904,325,,112,21500,,
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,10/3/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=428.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%203rd%20Oct%202011%20Ext.pdf",36395,9132,5008,5370,2019,527,4651,4831,1578,6825,619,,440,35954,,
Kambioos,Kenya,40.393056,-0.044167,10/3/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=428.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%203rd%20Oct%202011%20Ext.pdf",8254,1786,1081,1365,555,93,1003,1155,394,1442,134,,39,8254,,
Dagahaley,Kenya,40.2881,0.191389,10/1/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=415.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%201st%20Oct%202011%20Ext.pdf",127953,37323,13170,17778,8463,2015,13014,16687,7429,26146,2228,53,5064,122762,71,3
Hagadera,Kenya,40.35,0.001111,10/1/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=415.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%201st%20Oct%202011%20Ext.pdf",143595,44745,13696,17272,10269,2381,13018,16160,8375,31176,2522,,3635,139953,2,4
Ifo,Kenya,40.3131,0.108611,10/1/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=415.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%201st%20Oct%202011%20Ext.pdf",126777,41548,11858,15291,8663,2271,11636,14441,7243,27273,2400,5,8739,116838,922,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,10/1/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=415.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%201st%20Oct%202011%20Ext.pdf",20685,4975,2785,3130,1303,316,2652,2835,940,3738,317,,104,20581,,
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,10/1/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=415.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%201st%20Oct%202011%20Ext.pdf",32244,8004,4460,4754,1775,453,4141,4326,1417,6043,516,,29,3967,,
Kambioos,Kenya,40.393056,-0.044167,10/1/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=415.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%201st%20Oct%202011%20Ext.pdf",3996,839,504,687,289,38,452,563,215,669,57,,29,3967,,
Dagahaley,Kenya,40.2881,0.191389,9/28/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=398.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2028th%20Sep%202011%20Ext.pdf",127806,37226,13163,17756,8471,2015,12966,16681,7418,26139,2225,53,5066,122613,71,3
Hagadera,Kenya,40.35,0.001111,9/28/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=398.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2028th%20Sep%202011%20Ext.pdf",142536,44378,13560,17143,10202,2369,12892,16010,8318,30976,2506,,3626,138900,2,4
Ifo,Kenya,40.3131,0.108611,9/28/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=398.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2028th%20Sep%202011%20Ext.pdf",125564,41176,11699,15102,8594,2253,11496,14310,7191,27042,2387,5,8720,115644,922,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,9/28/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=398.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2028th%20Sep%202011%20Ext.pdf",52406,12851,7168,7819,3045,756,6730,7091,2339,9681,822,,518,51887,1,
Kambioos,Kenya,40.393056,-0.044167,9/28/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=398.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2028th%20Sep%202011%20Ext.pdf",3729,779,475,640,278,35,423,525,202,619,54,,29,3700,,
Dagahaley,Kenya,40.2881,0.191389,9/27/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=395.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2027th%20Sep%202011%20Ext.pdf",130671,37909,13542,18173,8621,2064,13289,17107,7550,26675,2273,53,5065,125479,71,3
Hagadera,Kenya,40.35,0.001111,9/27/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=395.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2027th%20Sep%202011%20Ext.pdf",142180,44238,13516,17095,10187,2364,12855,15968,8303,30902,2497,,3621,138549,2,4
Ifo,Kenya,40.3131,0.108611,9/27/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=395.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2027th%20Sep%202011%20Ext.pdf",129888,42317,12236,15714,8840,2328,12045,14875,7384,27853,2473,5,8764,119931,915,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,9/27/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=395.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2027th%20Sep%202011%20Ext.pdf",44295,10785,6111,6679,2601,615,5675,5986,1974,8187,678,,465,43829,1,
Dagahaley,Kenya,40.2881,0.191389,9/26/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=380.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2026th%20Sep%202011%20Ext.pdf",130477,37823,13520,18149,8606,2061,13270,17091,7536,26637,2268,53,5064,125286,71,3
Hagadera,Kenya,40.35,0.001111,9/26/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=380.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2026th%20Sep%202011%20Ext.pdf",141721,44104,13438,17026,10161,2353,12799,15926,8281,30826,2489,,3597,138114,2,4
Ifo,Kenya,40.3131,0.108611,9/26/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=380.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2026th%20Sep%202011%20Ext.pdf",129394,42174,12165,15657,8820,2319,11959,14807,7367,27776,2466,5,8755,119446,915,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,9/26/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=380.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2026th%20Sep%202011%20Ext.pdf",44283,10785,6106,6679,2601,615,5668,5986,1974,8187,678,,465,43817,1,
Kambioos,Kenya,40.393056,-0.044167,9/26/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=380.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2026th%20Sep%202011%20Ext.pdf",3740,781,475,643,280,35,424,526,202,621,54,,29,3740,,
Dagahaley,Kenya,40.2881,0.191389,9/24/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=378.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2024th%20Sep%202011%20Ext.pdf",130288,37764,13507,18125,8590,2054,13241,17066,7518,26602,2263,53,5063,125098,71,3
Hagadera,Kenya,40.35,0.001111,9/24/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=378.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2024th%20Sep%202011%20Ext.pdf",141248,43992,13349,16965,10138,2348,12729,15851,8262,30751,2484,,2594,137644,2,4
Ifo,Kenya,40.3131,0.108611,9/24/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=378.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2024th%20Sep%202011%20Ext.pdf",128855,42047,12098,15577,8782,2306,11888,14730,7338,27682,2461,5,8753,118913,911,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,9/24/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=378.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2024th%20Sep%202011%20Ext.pdf",44372,10807,6115,6690,2609,615,5680,6002,1978,8203,680,,465,43906,1,
Kambioos,Kenya,40.393056,-0.044167,9/24/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=378.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2024th%20Sep%202011%20Ext.pdf",3740,781,475,643,280,35,424,526,202,621,54,,29,3711,,
Dagahaley,Kenya,40.2881,0.191389,9/22/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=373.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2022nd%20Sep%202011.pdf",129930,37617,13442,18072,8580,2051,13190,17025,7514,26552,2256,53,5068,124735,71,3
Hagadera,Kenya,40.35,0.001111,9/22/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=373.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2022nd%20Sep%202011.pdf",140541,43726,13258,16857,10105,2343,12660,15772,8236,30615,2477,,3590,136941,2,4
Ifo,Kenya,40.3131,0.108611,9/22/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=373.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2022nd%20Sep%202011.pdf",128081,41806,12014,15464,8728,2297,11783,14626,7303,27558,2453,5,8753,118139,911,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,9/22/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=373.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2022nd%20Sep%202011.pdf",15994,3881,2137,2464,1039,229,2062,2178,721,2878,251,,99,15895,,
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,9/22/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=373.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2022nd%20Sep%202011.pdf",28381,6927,3979,4227,1572,385,3619,3825,1256,5234,529,,366,28014,1,
Kambioos,Kenya,40.393056,-0.044167,9/22/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=373.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2022nd%20Sep%202011.pdf",3740,781,475,643,280,35,424,526,202,621,54,,29,3711,,
Dagahaley,Kenya,40.2881,0.191389,9/20/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=366.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2020th%20Sep%202011.pdf",130678,37759,13517,18227,8640,2055,13226,17125,7551,26700,2288,53,5065,125486,71,3
Hagadera,Kenya,40.35,0.001111,9/20/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=366.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2020th%20Sep%202011.pdf",139550,43389,13134,16744,10033,2324,12541,15644,8196,30435,2456,,3571,135969,2,4
Ifo,Kenya,40.3131,0.108611,9/20/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=366.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2020th%20Sep%202011.pdf",129907,42242,12234,15740,8845,2319,11978,14898,7384,27931,2483,5,8756,119962,911,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,9/20/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=366.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2020th%20Sep%202011.pdf",13981,3378,1883,2153,925,200,1811,1905,632,2496,201,,86,13895,,
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,9/20/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=366.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2020th%20Sep%202011.pdf",26293,6383,3686,3935,1451,351,3350,3543,1177,4936,397,,360,25932,1,
Kambioos,Kenya,40.393056,-0.044167,9/20/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=366.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2020th%20Sep%202011.pdf",3740,781,475,643,280,35,424,526,202,621,54,,29,3711,,
Dagahaley,Kenya,40.2881,0.191389,9/19/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=360.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2019th%20Sep%202011.pdf",130381,37664,13480,18188,8622,2047,13183,17085,7541,26651,2280,53,5064,125190,71,3
Hagadera,Kenya,40.35,0.001111,9/19/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=360.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2019th%20Sep%202011.pdf",138708,43127,12984,16652,9998,2308,12393,15562,8176,30318,2440,,3565,135133,2,4
Ifo,Kenya,40.3131,0.108611,9/19/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=360.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2019th%20Sep%202011.pdf",129328,42052,12139,15690,8819,2305,11883,14837,7365,27835,2467,5,8742,119400,909,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,9/19/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=360.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2019th%20Sep%202011.pdf",13982,3379,1883,2153,925,200,1811,1905,632,2495,201,,86,13896,,
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,9/19/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=360.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2019th%20Sep%202011.pdf",26292,6383,3686,3935,1451,351,3349,3543,1177,4936,397,,360,25931,1,
Kambioos,Kenya,40.393056,-0.044167,9/19/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=360.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2019th%20Sep%202011.pdf",3738,781,474,643,280,35,423,526,202,621,54,,29,3709,,
Dagahaley,Kenya,40.2881,0.191389,9/18/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=352.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2018th%20Sep%202011.pdf",132267,38079,13738,18494,8774,2071,13403,17351,7637,26979,2304,53,5063,127077,71,3
Hagadera,Kenya,40.35,0.001111,9/18/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=352.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2018th%20Sep%202011.pdf",138033,42940,12865,16566,9955,2298,12292,15473,8154,30207,2427,,3553,134470,2,4
Ifo,Kenya,40.3131,0.108611,9/18/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=352.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2018th%20Sep%202011.pdf",131403,42564,12443,15970,8939,2336,12136,15143,7432,28272,2509,5,8727,121490,909,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,9/18/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=352.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2018th%20Sep%202011.pdf",11508,2793,1557,1780,753,167,1488,1541,517,2052,165,,85,11423,,
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,9/18/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=352.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2018th%20Sep%202011.pdf",23802,5696,3335,3604,1317,311,3037,3216,1086,4446,347,,358,23443,1,
Kambioos,Kenya,40.393056,-0.044167,9/18/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=352.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2018th%20Sep%202011.pdf",3741,782,475,643,280,35,424,526,202,622,54,,29,3712,,
Dagahaley,Kenya,40.2881,0.191389,9/15/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=345.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2015th%20Sep%202011.pdf",131744,37923,13661,18431,8754,2066,13330,17264,7617,26879,2285,53,5060,126557,71,3
Hagadera,Kenya,40.35,0.001111,9/15/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=345.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2015th%20Sep%202011.pdf",136823,42586,12725,16381,9884,2275,12156,15303,8099,29983,2406,,3538,133275,2,4
Ifo,Kenya,40.3131,0.108611,9/15/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=345.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2015th%20Sep%202011.pdf",130180,42164,12291,15821,8846,2309,12007,15002,7372,28045,2473,5,8721,120274,908,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,9/15/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=345.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2015th%20Sep%202011.pdf",11507,2793,1557,1780,753,167,1488,1541,516,2052,165,,85,11422,,
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,9/15/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=345.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2015th%20Sep%202011.pdf",23802,5696,3335,3604,1317,311,3037,3216,1086,4446,347,,358,23443,1,
Kambioos,Kenya,40.393056,-0.044167,9/15/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=345.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2015th%20Sep%202011.pdf",3741,782,475,643,280,35,424,526,202,622,54,,6,776,,
Dagahaley,Kenya,40.2881,0.191389,9/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=341.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2014th%20Sep%202011.pdf",132498,38080,13775,18546,8803,2070,13417,17379,7653,27010,2289,53,5059,127312,71,3
Hagadera,Kenya,40.35,0.001111,9/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=341.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2014th%20Sep%202011.pdf",136353,42425,12673,16317,9864,2273,12104,15237,8072,29893,2394,,3537,132806,2,4
Ifo,Kenya,40.3131,0.108611,9/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=341.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2014th%20Sep%202011.pdf",131065,42333,12445,15949,8888,2328,12118,15125,7390,28208,2479,5,8723,12157,908,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,9/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=341.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2014th%20Sep%202011.pdf",10588,2594,1414,1642,694,159,1370,1411,475,1898,158,,85,10503,,
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,9/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=341.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2014th%20Sep%202011.pdf",22564,5418,3134,3431,1263,287,2871,3046,1057,4212,336,,358,22205,1,
Kambioos,Kenya,40.393056,-0.044167,9/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=341.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2014th%20Sep%202011.pdf",3745,783,476,643,280,35,425,526,202,623,54,,29,3716,,
Dagahaley,Kenya,40.2881,0.191389,9/12/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=327.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2012th%20Sep%202011.pdf",133549,38283,13900,18733,8912,2089,13544,17514,7702,27187,2292,53,5065,128357,71,3
Hagadera,Kenya,40.35,0.001111,9/12/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=327.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2012th%20Sep%202011.pdf",135160,42135,12492,16168,9801,2255,11905,15084,8035,29681,2370,,3536,131614,2,4
Ifo,Kenya,40.3131,0.108611,9/12/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=327.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2012th%20Sep%202011.pdf",131646,42452,12516,16036,8929,2330,12193,15192,7425,28295,2480,5,8722,121739,908,58
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,9/12/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=327.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2012th%20Sep%202011.pdf",8998,2233,1214,1381,561,134,1170,1195,406,1628,140,,76,8922,,
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,9/12/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=327.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2012th%20Sep%202011.pdf",21117,5056,2930,3222,1186,267,2674,2873,985,3954,313,,359,20757,1,
