Camp,Country,Longitude,Latitude,DatePublished,Source,URL,Individuals,Households,Male_0_4,Male_5_11,Male_12_17,Male_60,Female_0_4,Female_5_11,Female_12_17,Female_18_59,Female_60,Eritrean,Ethiopian,Somali,Sudanese,Ugandan
Melkadida,Ethiopia,41.703053,4.523053,10/13/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=500.pdf&name=Dollo_Ado_Population_Statistics_13_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,
Helawein,Ethiopia,41.8622,4.369878,10/13/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=500.pdf&name=Dollo_Ado_Population_Statistics_13_Oct_2011.pdf,23933,5640,3329,3661,1321,272,3163,3630,1212,4574,255,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,10/12/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,37667,9453,4451,6114,2476,403,4453,5865,2133,7325,378,,,,,
Melkadida,Ethiopia,41.703053,4.523053,10/12/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,
Kobe,Ethiopia,41.7469,4.481,10/12/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,25687,5851,3393,4051,1413,390,3210,3704,1195,4842,380,,,,,
Helawein,Ethiopia,41.8622,4.369878,10/12/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,23933,5640,3239,3661,1321,272,3136,3630,1212,4574,255,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,
Melkadida,Ethiopia,41.703053,4.523053,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,
Kobe,Ethiopia,41.7469,4.481,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,25686,5849,3394,4051,1413,390,3210,3704,1195,4842,380,,,,,
Helawein,Ethiopia,41.8622,4.369878,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,23933,5640,3239,3661,1325,272,3163,3630,1212,4574,255,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=481.pdf&name=Dollo_Ado_Population_Statistics_11_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,
Melkadida,Ethiopia,41.703053,4.523053,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=481.pdf&name=Dollo_Ado_Population_Statistics_11_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,
Kobe,Ethiopia,41.7469,4.481,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=481.pdf&name=Dollo_Ado_Population_Statistics_11_Oct_2011.pdf,25686,5849,3394,4051,1413,390,3210,3704,1195,4842,380,,,,,
Helawein,Ethiopia,41.8622,4.369878,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=481.pdf&name=Dollo_Ado_Population_Statistics_11_Oct_2011.pdf,23933,5640,3239,3661,1321,272,3163,3630,1212,4574,255,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=482.pdf&name=Dollo_Ado_Population_Statistics_10_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,
Melkadida,Ethiopia,41.703053,4.523053,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=482.pdf&name=Dollo_Ado_Population_Statistics_10_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,
